subject,date,run,block,stimulus,nStim,stimID,noise,threshold,slope
na,16/01/2025,1,9,texture,1,1,fixed,0.00019934,3.55
na,16/01/2025,1,10,grating,5,2,fixed,0.00040512,3.42
na,16/01/2025,1,11,texture,5,1,fixed,0.00086379,2.06
na,16/01/2025,1,12,texture,5,3,fixed,0.00057771,2.79
eo,22/01/2025,1,1,texture,5,all,variable,0.00153237,1.62
eo,22/01/2025,1,2,texture,5,all,variable,0.00085596,1.54
eo,22/01/2025,1,3,grating,1,5,variable,0.00027853,4.19
eo,22/01/2025,1,4,texture,1,3,variable,0.00122698,6.19
eo,22/01/2025,1,5,texture,5,all,variable,0.00035275,4.6
eo,22/01/2025,1,6,grating,5,all,variable,0.0001724,4.38
eo,22/01/2025,1,7,grating,1,3,variable,0.00066732,2.19
eo,22/01/2025,1,8,texture,1,5,variable,0.00077442,4.11
eo,22/01/2025,1,9,grating,5,all,variable,0.00044835,5.18
eo,22/01/2025,1,10,grating,5,all,variable,0.03136608,0.89
eo,22/01/2025,1,11,texture,1,4,variable,0.00142043,1.81
eo,22/01/2025,1,12,grating,1,4,variable,0.00037476,4.19
th,22/01/2025,1,1,texture,1,2,fixed,0.00515605,0.91
th,22/01/2025,1,2,grating,5,all,fixed,0.00020394,3.73
th,22/01/2025,1,3,texture,5,all,fixed,0.01811157,2.68
th,22/01/2025,1,4,texture,5,all,fixed,0.00179415,1.46
th,22/01/2025,1,5,grating,5,all,fixed,0.00044048,3.43
th,22/01/2025,1,6,texture,1,4,fixed,0.0001414,5.26
th,22/01/2025,1,7,texture,1,5,fixed,0.00029493,3.31
th,22/01/2025,1,8,grating,1,2,fixed,0.00031467,3.96
th,22/01/2025,1,9,grating,1,5,fixed,0.00088186,1.7
th,22/01/2025,1,10,grating,1,4,fixed,0.0011264,3.55
th,22/01/2025,1,11,texture,5,all,fixed,0.00084227,3.76
th,22/01/2025,1,12,grating,5,all,fixed,0.00031051,2.7
eo,23/01/2025,2,1,grating,5,all,fixed,0.00059166,2.66
eo,23/01/2025,2,2,texture,5,all,fixed,0.00218249,2.44
eo,23/01/2025,2,3,texture,1,2,fixed,0.00684819,0.57
eo,23/01/2025,2,4,grating,5,all,fixed,0.00308733,2.66
eo,23/01/2025,2,5,texture,1,4,fixed,0.00037948,3.91
eo,23/01/2025,2,6,texture,5,all,fixed,0.00060619,5.34
eo,23/01/2025,2,7,grating,5,all,fixed,0.00082206,2.33
eo,23/01/2025,2,8,grating,1,4,fixed,0.00529839,3.75
eo,23/01/2025,2,9,grating,1,2,fixed,0.004608,6.85
eo,23/01/2025,2,10,grating,1,5,fixed,0.00090268,1.97
eo,23/01/2025,2,11,texture,5,all,fixed,0.00118133,1.75
eo,23/01/2025,2,12,texture,1,5,fixed,0.00252136,2.17
th,23/01/2025,2,1,texture,1,1,variable,0.00040714,3.8
th,23/01/2025,2,2,texture,1,2,variable,0.00025598,3.82
th,23/01/2025,2,3,grating,5,all,variable,0.00061639,2.43
th,23/01/2025,2,4,texture,5,all,variable,0.00037282,2.36
th,23/01/2025,2,5,grating,5,all,variable,0.00010088,4.81
th,23/01/2025,2,6,grating,1,2,variable,0.00013287,5.34
th,23/01/2025,2,7,grating,1,1,variable,0.0002743,2.88
th,23/01/2025,2,8,texture,5,all,variable,0.00027132,5.63
th,23/01/2025,2,9,texture,1,3,variable,0.00030791,3.12
th,23/01/2025,2,10,texture,5,all,variable,0.00027907,4.19
th,23/01/2025,2,11,grating,5,all,variable,0.0001818,3.79
th,23/01/2025,2,12,grating,1,3,variable,0.00017679,4.1
gv,29/01/2025,1,1,grating,5,all,fixed,0.00091057,2.18
gv,29/01/2025,1,2,texture,5,all,fixed,0.00044756,5.61
gv,29/01/2025,1,3,texture,1,4,fixed,0.00102032,2.04
gv,29/01/2025,1,4,grating,1,2,fixed,0.00026588,3.77
gv,29/01/2025,1,5,grating,1,1,fixed,0.00042807,2.47
gv,29/01/2025,1,6,texture,5,all,fixed,0.00021878,3.33
gv,29/01/2025,1,7,texture,5,all,fixed,0.00037547,4.07
gv,29/01/2025,1,8,texture,1,2,fixed,0.00084518,3.12
gv,29/01/2025,1,9,grating,5,all,fixed,0.00016082,5.51
gv,29/01/2025,1,10,grating,1,4,fixed,0.00066608,2.41
gv,29/01/2025,1,11,texture,1,1,fixed,0.00060337,3.62
gv,29/01/2025,1,12,grating,5,all,fixed,0.00059526,1.95
gv,30/01/2025,2,1,texture,5,all,variable,0.00021622,4.84
gv,30/01/2025,2,2,texture,5,all,variable,0.00047842,3.75
gv,30/01/2025,2,3,grating,1,5,variable,0.00031686,3.82
gv,30/01/2025,2,4,grating,5,all,variable,0.00030911,3.25
gv,30/01/2025,2,5,texture,1,5,variable,0.00025806,5.01
gv,30/01/2025,2,6,grating,5,all,variable,0.00028325,3.86
gv,30/01/2025,2,7,grating,1,3,variable,0.00041019,2.93
gv,30/01/2025,2,8,grating,1,2,variable,0.00095247,2.04
gv,30/01/2025,2,9,texture,1,3,variable,0.00046363,3.87
gv,30/01/2025,2,10,texture,5,all,variable,0.00076417,3.06
gv,30/01/2025,2,11,texture,1,2,variable,0.00056644,3.39
gv,30/01/2025,2,12,grating,5,all,variable,0.00032585,3.78
jc,30/01/2025,2,1,grating,5,all,fixed,0.00012143,4.81
jc,30/01/2025,2,2,texture,5,all,fixed,0.00010281,4.89
jc,30/01/2025,2,3,texture,5,all,fixed,0.00054086,3.46
jc,30/01/2025,2,4,texture,5,all,fixed,0.00028069,3.83
jc,30/01/2025,2,5,texture,1,1,fixed,0.00152099,1.37
jc,30/01/2025,2,6,texture,1,2,fixed,0.00376365,1.33
jc,30/01/2025,2,7,grating,1,1,fixed,0.00095686,2.04
jc,30/01/2025,2,8,grating,5,all,fixed,0.00035224,4.18
jc,30/01/2025,2,9,texture,1,5,fixed,0.00027342,3.61
jc,30/01/2025,2,10,grating,1,5,fixed,0.00099963,1.56
jc,30/01/2025,2,11,grating,5,all,fixed,0.00022703,3.51
jc,30/01/2025,2,12,grating,1,2,fixed,0.00038271,4.16
jc,29/01/2025,1,1,texture,1,1,variable,0.00033968,3.71
jc,29/01/2025,1,2,texture,5,all,variable,0.00117721,1.4
jc,29/01/2025,1,3,grating,5,all,variable,0.00034166,3.51
jc,29/01/2025,1,4,grating,1,1,variable,0.00028804,3.23
jc,29/01/2025,1,5,texture,1,3,variable,0.00019855,4.78
jc,29/01/2025,1,6,grating,5,all,variable,0.00034607,2.76
jc,29/01/2025,1,7,grating,1,2,variable,0.00038977,3.24
jc,29/01/2025,1,8,texture,1,2,variable,0.00025086,3.93
jc,29/01/2025,1,9,texture,5,all,variable,0.0003934,3.2
jc,29/01/2025,1,10,grating,5,all,variable,0.00029713,4.6
jc,29/01/2025,1,11,texture,5,all,variable,0.00046817,3.02
jc,29/01/2025,1,12,grating,1,3,variable,0.00026894,2.76
cw,12/02/2025,1,1,grating,5,all,variable,0.00015573,4.25
cw,12/02/2025,1,2,grating,1,1,variable,0.00061395,2.78
cw,12/02/2025,1,3,grating,1,3,variable,0.00033836,3.21
cw,12/02/2025,1,4,texture,5,all,variable,0.02079707,2.03
cw,12/02/2025,1,5,texture,1,3,variable,0.00037884,3.28
cw,12/02/2025,1,6,texture,1,1,variable,0.0004495,3.77
cw,12/02/2025,1,7,grating,5,all,variable,0.00031844,4.02
cw,12/02/2025,1,8,texture,5,all,variable,0.00043318,3.19
cw,12/02/2025,1,9,texture,1,4,variable,0.00052846,2.83
cw,12/02/2025,1,10,texture,5,all,variable,0.00021493,6.1
cw,12/02/2025,1,11,grating,5,all,variable,0.00016221,5.97
cw,12/02/2025,1,12,grating,1,4,variable,0.00036166,2.72
cw,13/02/2025,2,1,grating,5,all,fixed,0.00123167,1.68
cw,13/02/2025,2,2,texture,1,5,fixed,0.00033004,3.48
cw,13/02/2025,2,3,texture,5,all,fixed,0.0002083,4.92
cw,13/02/2025,2,4,grating,1,4,fixed,0.00262962,0.9
cw,13/02/2025,2,5,texture,1,4,fixed,0.00105681,3.19
cw,13/02/2025,2,6,grating,1,5,fixed,0.00015041,4
cw,13/02/2025,2,7,grating,1,2,fixed,0.00024981,3.78
cw,13/02/2025,2,8,texture,1,2,fixed,0.00025786,3.25
cw,13/02/2025,2,9,grating,5,all,fixed,0.00035976,2.9
cw,13/02/2025,2,10,texture,5,all,fixed,0.00035925,3.49
cw,13/02/2025,2,11,grating,5,all,fixed,0.00125614,2.08
cw,13/02/2025,2,12,texture,5,all,fixed,0.00052418,3.52
mr,12/02/2025,1,1,grating,1,4,fixed,0.00065855,2.36
mr,12/02/2025,1,2,grating,1,5,fixed,0.00100425,2.65
mr,12/02/2025,1,3,texture,1,4,fixed,0.0014183,2.07
mr,12/02/2025,1,4,texture,5,all,fixed,0.00039514,5.37
mr,12/02/2025,1,5,grating,5,all,fixed,0.00016628,5.84
mr,12/02/2025,1,6,texture,5,all,fixed,0.00078299,1.92
mr,12/02/2025,1,7,texture,1,2,fixed,0.0006937,2.85
mr,12/02/2025,1,8,texture,5,all,fixed,0.0014677,2.09
mr,12/02/2025,1,9,grating,5,all,fixed,0.00093804,2.49
mr,12/02/2025,1,10,grating,5,all,fixed,0.00041305,2.92
mr,12/02/2025,1,11,grating,1,2,fixed,0.00046898,2.38
mr,12/02/2025,1,12,texture,1,5,fixed,0.00104213,3.48
mr,13/02/2025,2,1,grating,5,1,variable,0.00012017,7.03
mr,13/02/2025,2,2,grating,1,4,variable,0.00050518,2.89
mr,13/02/2025,2,3,grating,5,4,variable,0.0003312,4.26
mr,13/02/2025,2,4,grating,1,1,variable,0.00046158,3.74
mr,13/02/2025,2,5,texture,5,3,variable,0.00165919,2.09
mr,13/02/2025,2,6,texture,5,3,variable,0.00074688,3.32
mr,13/02/2025,2,7,texture,1,3,variable,0.00024749,5.01
mr,13/02/2025,2,8,grating,1,3,variable,0.00057643,1.96
mr,13/02/2025,2,9,texture,1,3,variable,0.00046306,4.24
mr,13/02/2025,2,10,texture,5,5,variable,0.00208052,1.21
mr,13/02/2025,2,11,texture,1,3,variable,0.00035259,7.07
mr,13/02/2025,2,12,grating,5,2,variable,0.00123452,1.61
an,20/02/2025,1,1,texture,1,5,variable,0.00036536,3.79
an,20/02/2025,1,2,grating,5,all,variable,0.0004021,2.41
an,20/02/2025,1,3,texture,5,all,variable,0.00070014,2.54
an,20/02/2025,1,4,texture,1,3,variable,0.00051665,3.1
an,20/02/2025,1,5,grating,1,5,variable,0.00051134,3.31
an,20/02/2025,1,6,grating,5,all,variable,0.00032966,3.49
an,20/02/2025,1,7,grating,1,2,variable,0.00078088,1.85
an,20/02/2025,1,8,texture,5,all,variable,0.00116873,1.43
an,20/02/2025,1,9,grating,1,3,variable,0.00013967,4.57
an,20/02/2025,1,10,grating,5,all,variable,0.0002199,4.18
an,20/02/2025,1,11,texture,5,all,variable,0.0002404,6.13
an,20/02/2025,1,12,texture,1,2,variable,0.00059032,2.25
an,21/02/2025,2,1,texture,1,5,fixed,0.00032362,4.11
an,21/02/2025,2,2,grating,1,5,fixed,0.00016899,4.25
an,21/02/2025,2,3,grating,5,all,fixed,0.00029856,3.52
an,21/02/2025,2,4,texture,5,all,fixed,0.00030243,3.16
an,21/02/2025,2,5,grating,1,1,fixed,0.00037257,3.15
an,21/02/2025,2,6,grating,5,all,fixed,0.00034927,3.44
an,21/02/2025,2,7,texture,1,1,fixed,0.00046135,2.71
an,21/02/2025,2,8,texture,5,all,fixed,9.35e-05,5.26
an,21/02/2025,2,9,grating,1,4,fixed,0.00090029,2.24
an,21/02/2025,2,10,texture,1,4,fixed,0.0005849,3
an,21/02/2025,2,11,texture,5,all,fixed,0.00069566,2.56
an,21/02/2025,2,12,grating,5,all,fixed,0.00060569,2.01
sj,20/02/2025,1,1,grating,5,all,fixed,0.00064517,3.96
sj,20/02/2025,1,2,texture,5,all,fixed,0.0002744,4.24
sj,20/02/2025,1,3,texture,5,all,fixed,0.00275782,1.49
sj,20/02/2025,1,4,grating,1,4,fixed,0.00244001,1.92
sj,20/02/2025,1,5,texture,1,2,fixed,0.00109856,2.15
sj,20/02/2025,1,6,texture,1,4,fixed,0.00122324,2.81
sj,20/02/2025,1,7,grating,5,all,fixed,0.00050473,3.6
sj,20/02/2025,1,8,grating,1,2,fixed,0.00158811,1.53
sj,20/02/2025,1,9,texture,1,1,fixed,0.02005427,4.12
sj,20/02/2025,1,10,texture,5,all,fixed,0.00097113,2.53
sj,20/02/2025,1,11,grating,1,1,fixed,0.00963767,0.73
sj,20/02/2025,1,12,grating,5,all,fixed,0.00809829,1.26
sj,21/02/2025,2,1,texture,1,1,variable,0.00085835,2.61
sj,21/02/2025,2,2,grating,1,3,variable,0.00079582,2.05
sj,21/02/2025,2,3,grating,5,all,variable,0.00060782,2.95
sj,21/02/2025,2,4,texture,1,3,variable,0.00047082,4.48
sj,21/02/2025,2,5,texture,5,all,variable,0.00117628,2.88
sj,21/02/2025,2,6,texture,5,all,variable,0.00090871,4.32
sj,21/02/2025,2,7,grating,5,all,variable,0.02735575,5.2
sj,21/02/2025,2,8,texture,1,5,variable,0.00191746,2.42
sj,21/02/2025,2,9,grating,5,all,variable,0.02694481,1.13
sj,21/02/2025,2,10,grating,1,5,variable,0.00140166,1.74
sj,21/02/2025,2,11,texture,5,all,variable,0.0078876,6.13
sj,21/02/2025,2,12,grating,1,1,variable,0.00410449,1.51
ve,20/02/2025,1,1,texture,1,1,variable,0.00020055,4.31
ve,20/02/2025,1,2,texture,1,5,variable,0.0007034,3.43
ve,20/02/2025,1,3,texture,5,all,variable,0.00018671,3.95
ve,20/02/2025,1,4,texture,1,3,variable,0.00082582,2.4
ve,20/02/2025,1,5,grating,5,all,variable,0.00038776,3.61
ve,20/02/2025,1,6,grating,5,all,variable,0.0001767,3.48
ve,20/02/2025,1,7,texture,5,all,variable,9.923e-05,6.81
ve,20/02/2025,1,8,grating,1,3,variable,0.00051362,2.27
ve,20/02/2025,1,9,grating,1,5,variable,0.00059549,2.29
ve,20/02/2025,1,10,texture,5,all,variable,0.0003219,4.25
ve,20/02/2025,1,11,grating,5,all,variable,0.00023511,4.62
ve,20/02/2025,1,12,grating,1,1,variable,0.00065099,2.15
ve,21/02/2025,2,1,texture,1,4,fixed,0.00063004,3.05
ve,21/02/2025,2,2,texture,5,all,fixed,0.00036143,4.32
ve,21/02/2025,2,3,grating,5,all,fixed,0.0002162,4.93
ve,21/02/2025,2,4,texture,5,all,fixed,0.00052705,2.64
ve,21/02/2025,2,5,grating,5,all,fixed,0.00028531,3.7
ve,21/02/2025,2,6,grating,1,4,fixed,0.00084637,1.89
ve,21/02/2025,2,7,texture,1,1,fixed,0.00023644,3.49
ve,21/02/2025,2,8,grating,5,all,fixed,0.00082936,1.64
ve,21/02/2025,2,9,grating,1,1,fixed,0.00070149,1.76
ve,21/02/2025,2,10,texture,1,3,fixed,0.00120659,1.43
ve,21/02/2025,2,11,texture,5,all,fixed,0.00199931,1.21
ve,21/02/2025,2,12,grating,1,3,fixed,0.00014818,4.92
xr,20/02/2025,1,1,grating,1,2,fixed,3.893e-05,6.15
xr,20/02/2025,1,2,grating,1,4,fixed,0.00062569,2.44
xr,20/02/2025,1,3,texture,5,all,fixed,0.00092026,2.35
xr,20/02/2025,1,4,texture,1,4,fixed,0.00062192,2.21
xr,20/02/2025,1,5,grating,5,all,fixed,0.00106391,1.7
xr,20/02/2025,1,6,texture,1,2,fixed,0.00035517,3.31
xr,20/02/2025,1,7,texture,5,all,fixed,0.00014723,6.09
xr,20/02/2025,1,8,grating,1,3,fixed,0.00033815,3.32
xr,20/02/2025,1,9,grating,5,all,fixed,0.0004525,3.13
xr,20/02/2025,1,10,grating,5,all,fixed,0.00056635,3.23
xr,20/02/2025,1,11,texture,1,3,fixed,0.00113829,2
xr,20/02/2025,1,12,texture,5,all,fixed,0.0065487,1.62
xr,21/02/2025,2,1,texture,5,all,variable,0.00025208,4.37
xr,21/02/2025,2,2,texture,5,all,variable,0.00077737,1.95
xr,21/02/2025,2,3,grating,1,4,variable,0.00023514,3.78
xr,21/02/2025,2,4,grating,5,all,variable,0.00041131,3.19
xr,21/02/2025,2,5,grating,1,2,variable,6.917e-05,6.6
xr,21/02/2025,2,6,grating,5,all,variable,0.00016518,5.66
xr,21/02/2025,2,7,grating,5,all,variable,0.00043514,3.44
xr,21/02/2025,2,8,texture,1,4,variable,0.00025302,3.73
xr,21/02/2025,2,9,texture,1,3,variable,0.00058453,3.5
xr,21/02/2025,2,10,grating,1,3,variable,0.00864291,0.69
xr,21/02/2025,2,11,texture,5,all,variable,0.00068097,2.7
xr,21/02/2025,2,12,texture,1,2,variable,0.0006921,2.92
